time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4,reward
1.4200000000000008,11.0,7.0,26.38861755019059,0.0,0.0,0.0,0.0,0.0,27.153572284897628,0.0,0.0,0.0,900.0,900.0,900.0,900.0,1.0
1.4400000000000008,11.0,7.0,26.932243457341198,0.0,0.0,0.0,0.0,0.0,27.20901843016312,0.0,0.0,0.0,900.0,900.0,900.0,900.0,1.0
1.4600000000000009,11.0,7.0,27.476948790998563,0.0,0.0,0.0,0.0,0.0,27.26151493557368,0.0,0.0,0.0,900.0,900.0,900.0,900.0,1.0
1.4800000000000009,11.0,7.0,28.022676072136747,0.0,0.0,0.0,0.0,0.0,27.311213178244675,0.0,0.0,0.0,900.0,900.0,900.0,900.0,1.0
1.5000000000000009,11.0,7.0,28.569370777438827,0.0,0.0,0.0,0.0,0.0,27.35825735196323,0.0,0.0,0.0,900.0,900.0,900.0,900.0,1.0
1.520000000000001,11.0,7.0,29.116981198412116,0.0,0.0,0.0,0.0,0.0,27.40278474536568,0.0,0.0,0.0,900.0,900.0,900.0,900.0,1.0
1.540000000000001,11.0,7.0,29.66545830602957,0.0,0.0,0.0,0.0,0.0,27.444926016379966,0.0,0.0,0.0,900.0,900.0,900.0,900.0,1.0
1.560000000000001,11.0,7.0,30.21475562081387,0.0,0.0,0.0,0.0,0.0,27.4848054620498,0.0,0.0,0.0,900.0,900.0,900.0,900.0,1.0
1.580000000000001,11.0,7.0,30.764829088264374,0.0,0.0,0.0,0.0,0.0,27.522541283000237,0.0,0.0,0.0,900.0,900.0,900.0,900.0,1.0
1.600000000000001,11.0,7.0,31.3156369595137,0.0,0.0,0.0,0.0,0.0,27.5582458419323,0.0,0.0,0.0,900.0,900.0,900.0,900.0,1.0
1.620000000000001,11.0,7.0,31.86713967708951,0.0,0.0,0.0,0.0,0.0,27.59202591564872,0.0,0.0,0.0,900.0,900.0,900.0,900.0,1.0
1.640000000000001,11.0,7.0,32.41929976564814,0.0,0.0,0.0,0.0,0.0,27.62398294021472,0.0,0.0,0.0,900.0,900.0,900.0,900.0,1.0
1.660000000000001,11.0,7.0,32.97208172753977,0.0,0.0,0.0,0.0,0.0,27.654213248948217,0.0,0.0,0.0,900.0,900.0,900.0,900.0,1.0
1.680000000000001,11.0,7.0,33.52545194305939,0.0,0.0,0.0,0.0,0.0,27.68280830301348,0.0,0.0,0.0,900.0,900.0,900.0,900.0,1.0
1.700000000000001,11.0,7.0,34.07937857523415,0.0,0.0,0.0,0.0,0.0,27.709854914462635,0.0,0.0,0.0,900.0,900.0,900.0,900.0,1.0
1.720000000000001,11.0,7.0,34.633831478995084,0.0,0.0,0.0,0.0,0.0,27.735435461630708,0.0,0.0,0.0,900.0,900.0,900.0,900.0,1.0
1.740000000000001,11.0,7.0,35.18878211457982,0.0,0.0,0.0,0.0,0.0,27.759628096843464,0.0,0.0,0.0,900.0,900.0,900.0,900.0,1.0
1.7600000000000011,11.0,7.0,35.744203465012696,0.0,0.0,0.0,0.0,0.0,27.78250694644363,0.0,0.0,0.0,900.0,900.0,900.0,900.0,1.0
1.7800000000000011,11.0,7.0,36.300069957508946,0.0,0.0,0.0,0.0,0.0,27.804142303180907,0.0,0.0,0.0,900.0,900.0,900.0,900.0,1.0
1.8000000000000012,11.0,7.0,36.856357388651205,0.0,0.0,0.0,0.0,0.0,27.824600811045297,0.0,0.0,0.0,900.0,900.0,900.0,900.0,1.0
1.8200000000000012,11.0,7.0,37.41304285318818,0.0,0.0,0.0,0.0,0.0,27.84394564265208,0.0,0.0,0.0,900.0,900.0,900.0,900.0,1.0
1.8400000000000012,11.0,7.0,37.97010467630781,0.0,0.0,0.0,0.0,0.0,27.862236669311,0.0,0.0,0.0,900.0,900.0,900.0,900.0,1.0
1.8600000000000012,11.0,7.0,38.52752234924024,0.0,0.0,0.0,0.0,0.0,27.879530623932276,0.0,0.0,0.0,900.0,900.0,900.0,900.0,1.0
1.8800000000000012,11.0,7.0,39.08527646804895,0.0,0.0,0.0,0.0,0.0,27.895881256938516,0.0,0.0,0.0,900.0,900.0,900.0,900.0,1.0
1.9000000000000012,11.0,7.0,39.643348675471984,0.0,0.0,0.0,0.0,0.0,27.911339485364625,0.0,0.0,0.0,900.0,900.0,900.0,900.0,1.0
1.9200000000000013,11.0,7.0,40.20172160567901,0.0,0.0,0.0,0.0,0.0,27.92595353533823,0.0,0.0,0.0,900.0,900.0,900.0,900.0,1.0
1.9400000000000013,11.0,7.0,40.7603788318138,0.0,0.0,0.0,0.0,0.0,27.939769078140788,0.0,0.0,0.0,900.0,900.0,900.0,900.0,1.0
1.9600000000000013,11.0,7.0,41.31930481619576,0.0,0.0,0.0,0.0,0.0,27.95282936005517,0.0,0.0,0.0,900.0,900.0,900.0,900.0,1.0
1.9800000000000013,11.0,7.0,41.878484863058404,0.0,0.0,0.0,0.0,0.0,27.9651753262091,0.0,0.0,0.0,900.0,900.0,900.0,900.0,1.0
2.0000000000000013,11.0,7.0,42.43790507370675,0.0,0.0,0.0,0.0,0.0,27.97684573862583,0.0,0.0,0.0,900.0,900.0,900.0,900.0,1.0
2.0200000000000014,11.0,7.0,42.99755230397995,0.0,0.0,0.0,0.0,0.0,27.987877288693948,0.0,0.0,0.0,900.0,900.0,900.0,900.0,1.0
2.0400000000000014,11.0,7.0,43.55741412390957,0.0,0.0,0.0,0.0,0.0,27.998304704267465,0.0,0.0,0.0,900.0,900.0,900.0,900.0,1.0
2.0600000000000014,11.0,7.0,44.11747877946829,0.0,0.0,0.0,0.0,0.0,28.008160851605673,0.0,0.0,0.0,900.0,900.0,900.0,900.0,1.0
